ID;event;event_number;mp;Source;lineupcat_id;event_number_new
HCME_A__20220404_01;0;58;0;S25E20;MULTI_2022-04-04_01;59
2022-04-04T22:12:00-CME-001;3;58;0;S25E20;MULTI_2022-04-04_01;59
ICME_Wind_MOESTL_20220408_01;1;58;0;S25E20;MULTI_2022-04-04_01;59
HCME_A__20220409_01;0;59;0;-;MULTI_2022-04-09_01;58
2022-04-09T09:12:00-CME-001;3;59;0;-;MULTI_2022-04-09_01;58
ICME_Wind_MOESTL_20220413_01;1;59;0;-;MULTI_2022-04-09_01;58
HCME_A__20220411_01;0;60;0;S15E05;MULTI_2022-04-11_01;57
2022-04-11T06:00:00-CME-001;3;60;0;S15E05;MULTI_2022-04-11_01;57
ICME_BEPI_MOESTL_20220413_01;1;60;24;S15E05;MULTI_2022-04-11_01;57
ICME_Wind_MOESTL_20220414_01;1;60;24;S15E05;MULTI_2022-04-11_01;57
HCME_A__20220416_01;0;61;0;-;MULTI_2022-04-16_01;56
2022-04-16T11:54:00-CME-001;3;61;0;-;MULTI_2022-04-16_01;56
ICME_PSP_MOESTL_20220418_01;1;61;0;-;MULTI_2022-04-16_01;56
HCME_A__20220602_01;0;62;0;S35W40;MULTI_2022-06-02_01;55
2022-06-02T06:09:00-CME-001;3;62;0;S35W40;MULTI_2022-06-02_01;55
ICME_BEPI_MOESTL_20220603_01;1;62;25;S35W40;MULTI_2022-06-02_01;55
ICME_Wind_MOESTL_20220606_01;1;62;25;S35W40;MULTI_2022-06-02_01;55
HCME_A__20220605_01;0;63;0;S35W50;MULTI_2022-06-05_01;54
2022-06-05T14:12:00-CME-001;3;63;0;S35W50;MULTI_2022-06-05_01;54
ICME_BEPI_MOESTL_20220607_01;1;63;0;S35W50;MULTI_2022-06-05_01;54
HCME_A__20220627_01;0;64;0;S30E09;MULTI_2022-06-26_01;53
2022-06-26T18:23:00-CME-001;3;64;0;S30E09;MULTI_2022-06-26_01;53
ICME_Wind_MOESTL_20220702_01;1;64;0;S30E09;MULTI_2022-06-26_01;53
HCME_A__20220703_02;0;65;0;-;MULTI_2022-07-03_01;52
2022-07-03T03:09:00-CME-001;3;65;0;-;MULTI_2022-07-03_01;52
ICME_Wind_MOESTL_20220707_01;1;65;0;-;MULTI_2022-07-03_01;52
HCME_A__20220708_02;0;66;0;-;MULTI_2022-07-08_01;51
ICME_STEREO_A_MOESTL_20220710_01;1;66;0;-;MULTI_2022-07-08_01;51
HCME_A__20220711_01;0;67;0;S20W100;MULTI_2022-07-11_01;50
2022-07-11T13:09:00-CME-001;3;67;0;S20W100;MULTI_2022-07-11_01;50
ICME_SOLO_MOESTL_20220713_01;1;67;0;S20W100;MULTI_2022-07-11_01;50
HCME_A__20220716_01;0;68;0;-;MULTI_2022-07-16_01;49
ICME_PSP_MOESTL_20220718_01;1;68;0;-;MULTI_2022-07-16_01;49
HCME_A__20220721_01;0;69;0;N13W04;MULTI_2022-07-21_01;48
2022-07-21T01:48:00-CME-001;3;69;0;N13W04;MULTI_2022-07-21_01;48
ICME_STEREO_A_MOESTL_20220722_01;1;69;0;N13W04;MULTI_2022-07-21_01;48
HCME_A__20220723_01;0;70;0;-;MULTI_2022-07-23_01;47
ICME_SOLO_MOESTL_20220725_01;1;70;0;-;MULTI_2022-07-23_01;47
HCME_A__20220817_01;0;71;0;S23W25;MULTI_2022-08-17_01;46
2022-08-17T14:53:00-CME-001;3;71;0;S23W25;MULTI_2022-08-17_01;46
ICME_PSP_MOESTL_20220818_01;1;71;0;S23W25;MULTI_2022-08-17_01;46
HCME_A__20220828_01;0;72;0;S27W85;MULTI_2022-08-28_01;45
2022-08-28T16:23:00-CME-001;3;72;0;S27W85;MULTI_2022-08-28_01;45
ICME_PSP_MOESTL_20220829_01;1;72;0;S27W85;MULTI_2022-08-28_01;45
HCME_A__20220830_01;0;73;0;-;MULTI_2022-08-31_01;44
ICME_SOLO_MOESTL_20220831_01;1;73;0;-;MULTI_2022-08-31_01;44
HCME_A__20220905_01;0;74;0;-;MULTI_2022-09-05_01;43
2022-09-05T16:36:00-CME-001;3;74;0;-;MULTI_2022-09-05_01;43
ICME_PSP_MOESTL_20220905_01;1;74;26;-;MULTI_2022-09-05_01;43
ICME_SOLO_MOESTL_20220906_01;1;74;26;-;MULTI_2022-09-05_01;43
HCME_A__20221103_01;0;75;0;-;MULTI_2022-11-03_01;42
ICME_Wind_MOESTL_20221107_01;1;75;0;-;MULTI_2022-11-03_01;42
HCME_A__20221114_01;0;76;0;-;MULTI_2022-11-14_01;41
ICME_Wind_MOESTL_20221119_01;1;76;0;-;MULTI_2022-11-14_01;41
2022-12-24T02:48:00-CME-001;3;77;0;N20E28;MULTI_2022-12-24_01;40
ICME_SOLO_MOESTL_20221226_01;1;77;27;N20E28;MULTI_2022-12-24_01;40
ICME_STEREO_A_MOESTL_20221226_01;1;77;27;N20E28;MULTI_2022-12-24_01;40
HCME_A__20221231_01;0;78;0;N18E08;MULTI_2022-12-30_01;39
2022-12-30T16:53:00-CME-001;3;78;0;N18E08;MULTI_2022-12-30_01;39
ICME_Wind_MOESTL_20230103_01;1;78;28;N18E08;MULTI_2022-12-30_01;39
ICME_STEREO_A_MOESTL_20230104_01;1;78;28;N18E08;MULTI_2022-12-30_01;39
HCME_A__20230124_01;0;79;0;-;MULTI_2023-01-24_01;38
ICME_BEPI_MOESTL_20230125_01;1;79;0;-;MULTI_2023-01-24_01;38
2023-02-18T02:48:00-CME-001;3;80;29;;MULTI_2023-02-18_01;37
ICME_BEPI_MOESTL_20230218_02;1;80;29;;MULTI_2023-02-18_01;37
ICME_PSP_MOESTL_20230219_01;1;80;29;;MULTI_2023-02-18_01;37
HCME_A__20230313_01;0;81;0;-;MULTI_2023-03-13_01;36
2023-03-13T03:36:00-CME-001;3;81;0;-;MULTI_2023-03-13_01;36
ICME_PSP_MOESTL_20230313_01;1;81;0;-;MULTI_2023-03-13_01;36
2023-03-12T19:24:00-CME-001;3;82;0;S25E20;MULTI_2023-03-12_01;35
ICME_BEPI_MOESTL_20230313_01;1;82;30;S25E20;MULTI_2023-03-12_01;35
ICME_SOLO_MOESTL_20230314_01;1;82;30;S25E20;MULTI_2023-03-12_01;35
ICME_STEREO_A_MOESTL_20230315_01;1;82;30;S25E20;MULTI_2023-03-12_01;35
ICME_Wind_MOESTL_20230315_01;1;82;30;S25E20;MULTI_2023-03-12_01;35
ICME_SOLO_MOESTL_20230321_01;1;83;31;-;MULTI_2023-03-21_01;34
ICME_STEREO_A_WEILER_20230322_01;1;83;31;-;MULTI_2023-03-21_01;34
ICME_Wind_MOESTL_20230323_01;1;83;31;-;MULTI_2023-03-21_01;34
HCME_A__20230416_01;0;84;0;-;MULTI_2023-04-16_01;33
ICME_Wind_WEILER_20230418_01;1;84;32;-;MULTI_2023-04-16_01;33
ICME_STEREO_A_WEILER_20230420_01;1;84;32;-;MULTI_2023-04-16_01;33
HCME_A__20230421_02;0;85;0;S21W12;MULTI_2023-04-21_01;32
2023-04-21T18:12:00-CME-001;3;85;0;S21W12;MULTI_2023-04-21_01;32
ICME_BEPI_MOESTL_20230422_01;1;85;33;S21W12;MULTI_2023-04-21_01;32
ICME_STEREO_A_WEILER_20230423_01;1;85;33;S21W12;MULTI_2023-04-21_01;32
ICME_Wind_WEILER_20230423_01;1;85;33;S21W12;MULTI_2023-04-21_01;32
HCME_A__20230428_01;0;86;0;S20W90;MULTI_2023-04-28_01;31
2023-04-28T11:11:00-CME-001;3;86;0;S20W90;MULTI_2023-04-28_01;31
ICME_PSP_MOESTL_20230430_01;1;86;0;S20W90;MULTI_2023-04-28_01;31
HCME_A__20230501_01;0;87;0;-;MULTI_2023-05-01_01;30
ICME_SOLO_MOESTL_20230502_01;1;87;0;-;MULTI_2023-05-01_01;30
HCME_A__20230508_01;0;88;0;N17W07;MULTI_2023-05-07_01;29
2023-05-07T23:12:00-CME-001;3;88;0;N17W07;MULTI_2023-05-07_01;29
ICME_BEPI_MOESTL_20230509_01;1;88;0;N17W07;MULTI_2023-05-07_01;29
HCME_A__20230513_01;0;89;0;N15W76;MULTI_2023-05-13_01;28
2023-05-13T00:12:00-CME-001;3;89;0;N15W76;MULTI_2023-05-13_01;28
ICME_PSP_MOESTL_20230515_01;1;89;0;N15W76;MULTI_2023-05-13_01;28
HCME_A__20230516_01;0;90;0;-;MULTI_2023-05-16_01;27
2023-05-16T17:48:00-CME-001;3;90;0;-;MULTI_2023-05-16_01;27
ICME_PSP_MOESTL_20230518_01;1;90;0;-;MULTI_2023-05-16_01;27
HCME_A__20230609_01;0;91;0;S15W80;MULTI_2023-06-08_01;26
2023-06-08T21:12:00-CME-001;3;91;0;S15W80;MULTI_2023-06-08_01;26
ICME_BEPI_MOESTL_20230610_01;1;91;34;S15W80;MULTI_2023-06-08_01;26
ICME_PSP_MOESTL_20230611_01;1;91;34;S15W80;MULTI_2023-06-08_01;26
HCME_A__20230624_01;0;92;0;-;MULTI_2023-06-24_01;25
ICME_SOLO_MOESTL_20230626_01;1;92;0;-;MULTI_2023-06-24_01;25
HCME_A__20230710_01;0;93;0;S13W49;MULTI_2023-07-10_01;24
2023-07-10T04:00:00-CME-001;3;93;0;S13W49;MULTI_2023-07-10_01;24
ICME_PSP_MOESTL_20230711_01;1;93;0;S13W49;MULTI_2023-07-10_01;24
HCME_A__20230712_01;0;94;0;S35E05;MULTI_2023-07-11_01;23
2023-07-11T19:24:00-CME-001;3;94;0;S35E05;MULTI_2023-07-11_01;23
ICME_STEREO_A_WEILER_20230714_01;1;94;0;S35E05;MULTI_2023-07-11_01;23
HCME_A__20230714_01;0;95;0;S23W25;MULTI_2023-07-14_01;22
2023-07-14T10:18:00-CME-001;3;95;0;S23W25;MULTI_2023-07-14_01;22
ICME_PSP_MOESTL_20230716_01;1;95;35;S23W25;MULTI_2023-07-14_01;22
ICME_STEREO_A_WEILER_20230716_01;1;95;35;S23W25;MULTI_2023-07-14_01;22
HCME_A__20230718_01;0;96;0;S25W73;MULTI_2023-07-17_01;21
2023-07-17T23:36:00-CME-001;3;96;0;S25W73;MULTI_2023-07-17_01;21
ICME_PSP_MOESTL_20230719_01;1;96;0;S25W73;MULTI_2023-07-17_01;21
HCME_A__20230722_01;0;97;0;-;MULTI_2023-07-22_01;20
2023-07-22T05:00:00-CME-001;3;97;0;-;MULTI_2023-07-22_01;20
ICME_SOLO_MOESTL_20230724_01;1;97;0;-;MULTI_2023-07-22_01;20
HCME_A__20230723_01;0;98;0;N23W33;MULTI_2023-07-23_01;19
2023-07-23T15:05:00-CME-001;3;98;0;N23W33;MULTI_2023-07-23_01;19
ICME_PSP_MOESTL_20230725_01;1;98;0;N23W33;MULTI_2023-07-23_01;19
HCME_A__20230727_01;0;99;0;-;MULTI_2023-07-27_01;18
ICME_STEREO_A_WEILER_20230801_01;1;99;36;-;MULTI_2023-07-27_01;18
ICME_Wind_MOESTL_20230801_01;1;99;36;-;MULTI_2023-07-27_01;18
HCME_A__20230802_01;0;100;0;-;MULTI_2023-08-02_01;17
ICME_STEREO_A_MOESTL_20230804_01;1;100;37;-;MULTI_2023-08-02_01;17
ICME_Wind_MOESTL_20230805_01;1;100;37;-;MULTI_2023-08-02_01;17
HCME_A__20230804_01;0;101;0;N12W46;MULTI_2023-08-04_01;16
2023-08-04T04:17:00-CME-001;3;101;0;N12W46;MULTI_2023-08-04_01;16
ICME_PSP_MOESTL_20230806_01;1;101;0;N12W46;MULTI_2023-08-04_01;16
HCME_A__20230831_01;0;102;0;N15W15;MULTI_2023-08-30_01;15
2023-08-30T22:12:00-CME-001;3;102;0;N15W15;MULTI_2023-08-30_01;15
ICME_PSP_MOESTL_20230901_01;1;102;0;N15W15;MULTI_2023-08-30_01;15
HCME_A__20230907_01;0;103;0;-;MULTI_2023-09-07_01;14
2023-09-07T02:12:00-CME-001;3;103;0;-;MULTI_2023-09-07_01;14
ICME_PSP_MOESTL_20230910_01;1;103;38;-;MULTI_2023-09-07_01;14
ICME_STEREO_A_MOESTL_20230912_01;1;103;38;-;MULTI_2023-09-07_01;14
ICME_Wind_MOESTL_20230912_01;1;103;38;-;MULTI_2023-09-07_01;14
ICME_STEREO_A_MOESTL_20230918_01;1;104;39;-;MULTI_2023-09-18_01;13
ICME_Wind_MOESTL_20230918_01;1;104;39;-;MULTI_2023-09-18_01;13
ICME_STEREO_A_MOESTL_20230919_01;1;105;40;-;MULTI_2023-09-19_01;12
ICME_Wind_MOESTL_20230919_01;1;105;40;-;MULTI_2023-09-19_01;12
HCME_A__20230919_01;0;106;0;-;MULTI_2023-09-19_02;11
ICME_BEPI_MOESTL_20230922_01;1;106;0;-;MULTI_2023-09-19_02;11
HCME_A__20230922_01;0;107;0;N17E25;MULTI_2023-09-22_02;10
2023-09-22T02:24:00-CME-001;3;107;0;N17E25;MULTI_2023-09-22_02;10
ICME_PSP_MOESTL_20230922_01;1;107;41;N17E25;MULTI_2023-09-22_02;10
ICME_STEREO_A_MOESTL_20230924_01;1;107;41;N17E25;MULTI_2023-09-22_02;10
ICME_Wind_MOESTL_20230924_01;1;107;41;N17E25;MULTI_2023-09-22_02;10
HCME_A__20231010_01;0;108;0;-;MULTI_2023-10-10_01;9
2023-10-10T10:24:00-CME-001;3;108;0;-;MULTI_2023-10-10_01;9
ICME_SOLO_MOESTL_20231010_01;1;108;0;-;MULTI_2023-10-10_01;9
HCME_A__20231016_01;0;109;0;N13E47;MULTI_2023-10-16_01;8
2023-10-16T12:09:00-CME-001;3;109;0;N13E47;MULTI_2023-10-16_01;8
ICME_SOLO_MOESTL_20231017_01;1;109;0;N13E47;MULTI_2023-10-16_01;8
ICME_STEREO_A_MOESTL_20231104_01;1;110;42;-;MULTI_2023-11-04_01;7
ICME_Wind_MOESTL_20231104_01;1;110;42;-;MULTI_2023-11-04_01;7
HCME_A__20231109_01;0;111;0;S10W10;MULTI_2023-11-09_01;6
2023-11-09T12:23:00-CME-001;3;111;0;S10W10;MULTI_2023-11-09_01;6
ICME_SOLO_MOESTL_20231111_01;1;111;43;S10W10;MULTI_2023-11-09_01;6
ICME_Wind_MOESTL_20231113_01;1;111;43;S10W10;MULTI_2023-11-09_01;6
ICME_STEREO_A_MOESTL_20231113_01;1;111;43;S10W10;MULTI_2023-11-09_01;6
ICME_STEREO_A_MOESTL_20231201_01;1;112;44;-;MULTI_2023-12-01_01;5
ICME_Wind_MOESTL_20231201_01;1;112;44;-;MULTI_2023-12-01_01;5
HCME_A__20231205_01;0;113;0;-;MULTI_2023-12-05_01;4
ICME_SOLO_MOESTL_20231211_01;1;113;0;-;MULTI_2023-12-05_01;4
2023-12-13T00:00:00-CME-001;3;114;0;N06W19;MULTI_2023-12-13_01;3
ICME_STEREO_A_MOESTL_20231215_01;1;114;45;N06W19;MULTI_2023-12-13_01;3
ICME_Wind_MOESTL_20231215_01;1;114;45;N06W19;MULTI_2023-12-13_01;3
HCME_A__20231214_01;0;115;0;N05W54;MULTI_2023-12-14_01;2
2023-12-14T17:38:00-CME-001;3;115;0;N05W54;MULTI_2023-12-14_01;2
ICME_Wind_MOESTL_20231217_01;1;115;0;N05W54;MULTI_2023-12-14_01;2
2024-02-21T18:36:00-CME-001;3;116;0;N05W40;MULTI_2024-02-21_01;1
ICME_Wind_MOESTL_20240224_01;1;116;46;N05W40;MULTI_2024-02-21_01;1
ICME_STEREO_A_MOESTL_20240225_01;1;116;46;N05W40;MULTI_2024-02-21_01;1